State,2010 Population,2011 Population,2012 Population ,2013 Population,2014 Population,2015 Population,2016 Population,2017 Population,2018 Population,2019 Population,2020 Population,2021 Population,2022 Population,2020 COVID-19 Deaths,2020 COVID-Like Deaths,2020 COVID Death Rate,2021 COVID-19 Deaths,2021 COVID-Like Deaths,2021 COVID Death Rate,2022 COVID-19 Deaths,2022 COVID-Like Deaths,2022 COVID Death Rate
Montana,989415,997316,1003783,1013569,1021869,1030475,1040859,1052482,1060665,1068778,1084225,1104271,1122867,1269,1782,0.164357029,1816,2294,0.207738861,723,1238,0.064388748
Nebraska,1826341,1840672,1853303,1865279,1879321,1891277,1905616,1915947,1925614,1934408,1961504,1963692,1967923,2253,3355,0.171042221,1939,2941,0.149768905,1245,2166,0.06326467
Nevada,2700551,2712730,2743996,2775970,2817628,2866939,2917563,2969905,3027341,3080156,3104614,3143991,3177772,3527,5227,0.168362315,5645,7143,0.227195307,2667,4520,0.083926726
New Hampshire,1316470,1320202,1324232,1326622,1333341,1336350,1342307,1348787,1353465,1359711,1377529,1388992,1395231,828,1472,0.106858004,1204,1719,0.123758812,807,1386,0.057839885
New Jersey,8791894,8828117,8844942,8856972,8864525,8867949,8870827,8885525,8886025,8882190,9288994,9267130,9261699,18164,22754,0.244956558,9605,13112,0.141489328,6482,9898,0.069987159
New Mexico,2059179,2080450,2087309,2092273,2089568,2089291,2091630,2091784,2092741,2096829,2117522,2115877,2113344,2886,4029,0.19026957,3704,4696,0.221941067,1908,2951,0.090283456
New York,19378102,19499241,19572932,19624447,19651049,19654666,19633428,19589572,19530351,19453561,20201249,19835913,19677151,16195,24159,0.119591615,14799,21623,0.109009351,8974,16177,0.045606196
North Carolina,9535483,9657592,9749476,9843336,9932887,10031646,10154788,10268233,10381615,10488084,10439388,10551162,10698973,8789,14645,0.140286001,15234,20521,0.194490427,8190,13823,0.076549403
North Dakota,672591,685225,701176,722036,737401,754066,754434,754942,758080,762062,779094,774948,779261,1513,2061,0.26453804,939,1457,0.188012615,533,987,0.068398136
Ohio,11536504,11544663,11548923,11576684,11602700,11617527,11634370,11659650,11676341,11689100,11799448,11780017,11756058,15097,21502,0.182228864,20536,26208,0.222478457,11752,17318,0.099965482
Oklahoma,3751351,3788379,3818814,3853214,3878187,3909500,3926331,3931316,3940235,3956971,3959353,3986639,4019800,5248,8502,0.214732053,7850,10641,0.266916568,4404,7110,0.109557689
Oregon,3831074,3872036,3899001,3922468,3963244,4015792,4089976,4143625,4181886,4217737,4237256,4246155,4240137,1612,3251,0.076724182,4189,5539,0.130447428,2693,4312,0.063512099
Pennsylvania,12702379,12745815,12767118,12776309,12788313,12784826,12782275,12787641,12800922,12801989,13002700,12964056,12972008,18407,25388,0.195251755,20546,26482,0.20427249,11487,17654,0.088552212
Rhode Island,1052567,1053649,1054621,1055081,1055936,1056065,1056770,1055673,1058287,1059361,1097379,1095610,1093734,1918,2448,0.223076986,1217,1649,0.150509762,765,1153,0.06994388
South Carolina,4625364,4671994,4717354,4764080,4823617,4891938,4957968,5021268,5084156,5148714,5118425,5190705,5282634,5705,8775,0.171439456,9497,12121,0.233513559,4506,7205,0.085298357
South Dakota,814180,823579,833566,842316,849129,853988,862996,872868,878698,884659,886667,895376,909824,1715,2278,0.256917197,987,1516,0.169314344,619,1158,0.068035136
Tennessee,6346105,6399291,6453898,6494340,6541223,6591170,6646010,6708799,6771631,6829174,6910840,6975218,7051339,7927,13381,0.193623351,13653,18369,0.263346608,7116,11784,0.100917003
Texas,25145561,25645629,26084481,26480266,26964333,27470056,27914410,28295273,28628666,28995881,29145505,29527941,30029572,33542,47720,0.163730222,48786,61138,0.207051348,18313,30336,0.06098322
Utah,2763885,2814384,2853375,2897640,2936879,2981835,3041868,3101042,3153550,3205958,3271616,3337975,3380800,1657,2702,0.082589155,2671,3514,0.105273407,1293,2226,0.038245386
Vermont,625741,627049,626090,626210,625214,625216,623657,624344,624358,623989,643077,645570,647064,145,428,0.066555016,308,568,0.087984262,377,681,0.05826317
Virginia,8001024,8101155,8185080,8252427,8310993,8361808,8410106,8463587,8501286,8535519,8631393,8642274,8683619,6156,9407,0.108985884,9668,12695,0.146894209,5922,8986,0.068197373
Washington,6724540,6826627,6897058,6963985,7054655,7163657,7294771,7423362,7523869,7614893,7705281,7738692,7785786,3703,6957,0.090288725,6165,8778,0.113430022,4084,7275,0.052454563
West Virginia,1852994,1856301,1856872,1853914,1849489,1842050,1831023,1817004,1804291,1792147,1793716,1782959,1775156,1564,3180,0.17728559,3938,5542,0.310831601,2326,4365,0.131030738
Wisconsin,5686986,5705288,5719960,5736754,5751525,5760940,5772628,5790186,5807406,5822434,5893718,5895908,5892539,6286,8911,0.151194882,6076,8287,0.14055511,3831,6144,0.065014419
Wyoming,563626,567299,576305,582122,582531,585613,584215,578931,577601,578759,576851,578803,581381,461,748,0.129669533,963,1191,0.205769493,347,571,0.059685473
